Airport Name,Zipcode
Foxx Valley Airport,None
Pinon Canyon Airport,None
Fox Hole Airport,None
Yosemite Hidden Lake Ranch Airport,80026
Krey Field Airport,None
John Nichol's Field Airport,None
Bohunk's Airpark,91915
Tera Ultralightport,None
Fiorini Ranch Airport,93555
Sutter Butte Dusters Airport,95303
Dave's Airport,95953
Crested Butte Airpark,80026
Flying M & M Ranch Airport,80757
Cartwheel Airport,None
Van Treese Airport,None
Wilber Municipal Airport,None
Ada Airport,68333
Air Park North,45810
Corydon Airport,49611
Ott's Landing Airport,50060
The 2A Ranch Airport,34266
Dugger Field,None
Breezy Knoll Airport,None
Joy Farms Airport,None
Harper's Fly-In Ranch Airport,None
Mc Daniel Ranch Inc. Airport,None
North Buffalo Suburban Airport,None
Halls Flying Ranch Airport,14094
Mustang Field,30228
"Airnautique, Inc. Airport",None
Ayresouth Airport,30643
Paradise Falls Airport,30179
Sunset Strip,30645
Hickory Level Airfield,None
Paso Fino Farm Airport,None
Roberta Industrial Park Airport,None
Pinewood Airport,31078
Crystal Lake Airpark,30134
Lookout Mountain Airport,None
Pecan Patch Airstrip,30757
Carpenter Airport,30223
Pegasus Ranch Airport,30802
Brazil Clay County Airport,30467
Sharar Field,None
Moore Private Airport,52646
Hannen Airport,50165
South Fork Ranch Airport,52347
Ziggy's Airport,52213
Flying Joseph Ranch Airport,None
Coyote Run Airport,None
Black Butte Ranch Airport,None
Ez Lope Ranch Airport,None
Z X Ranch Airport,None
Pinnacle Airport,None
Corral Creek Airport,None
Chuck's Airport,None
Unsicker Airport,47320
Marshall Field,46902
Kropf Airport,46506
Frost Field,47929
Sutton's Field,46140
Winters Airport,46356
Flying B Ranch Airport,46125
Walter Airport,61834
Snider Field,60151
The Lazy K Airport,60115
Graves Landing Strip,None
Air Park Field,None
Byrne Field,None
Parrish Airport,None
Cady Aerial RLA Restricted Landing Area,47122
Dawson Farms Airport,61071
Flying Ten Airport,None
Dobie's Airport,32618
Camp Chippewa Airport,None
Norris Airport,None
Kendrigan Airport,None
Mono Aircraft Airport,None
Pearce Field,67110
Lmn 120 Airport,None
Owen Air Park,67068
Arnemann Farms Airport,41035
Cambron Field,42134
Clinton-Hickman County Airport,None
Lida Junction Airport,42031
Goldfield Airport,None
Double H Ranch Airport,89013
Don Babin-Private Airport,70734
Rebel Field,70769
Kaufield Airport,70706
Jerseyville Aviation Inc Airport,61008
Koenig Airport,62052
Flaherty Field,61474
Busboom RLA Restricted Landing Area,61342
Gord Airport,61873
Theriot Field,60548
Trahan Ultralightport,70301
Dufour Airport,70525
Morgan Field,71322
Lonesome Dove Airfield,70762
Huenefeld Airport,70650
Taylor Field,71203
Pond View Private Airport,20682
Walters Airport,None
Peasley Field,21771
Sugar Springs Airpark,04505
Kelleys Airport,None
Lesterson-Dempsey Airstrip,None
Young's Airport,49841
Brinkman Airport,49748
Matson Field,56003
Keller Airport,55975
Ferros Ranch-Aero Airport,55082
Flying G Airport,64735
Joe D Lewis Airport,64739
Hall Airport,63631
Sloan's Airport,None
Topton Air Estates Airport,None
Franklin Field,39301:39305
Lewis Air Service Airport,None
Hale Field,38756
Catfish Point Airport,38863
Williams Field,39776
Kimp Airport,None
Cottonwood Airport,59840
Hanson Airport,None
Pinehurst Ranch Airport,59925
Lone Hawk Airport,59844
Sunderland Airport,None
Slaughter Airport,None
Lambs Field,64658
Prince STOLport,64020
Roosterville Airport,63766
Chandelle Estates Airport,64157
Albanna Aviation Airport,19901
Goerger Airport,19943
Sorlie Airport,58061
Boyd's Turf Airport,None
Bearwallow Farm Airport,58654
Flying S Ranch Airport,27025
Gilbertson Field,27013
Schumacher Strip,58357
Merrihew Airport,58542
Runner Landing Area Airport,None
Merry Airport,None
Newman Airport,None
Frager Field,None
Fla-Net Airport,None
Dix Field,07857
Berdick Field,08234
Spring Brook Airport,14766
Westwind Farm Airport,None
Seven Gullies Airport,None
Lapeer Flyer Airport,14462
Rocky Reef Farm Airport,13803
Columbus Municipal Airport,12506
Negrito Airstrip,88029
Bennetts Airport,None
Russell Field,12853
Kermizian Airport,12831
Murphys Landing Strip,None
Wenskoski Field,None
Corning Municipal Airport,12070
Ward Field,96021
Fry Field,None
Apple Airport,45068
Fry Airport,45356
Galloway Airport,45123
Salt Box Airport,44870
Victor's Landing Airport,44234
Hidden Quarry Airport,44048
Edmond Airport,45652
Mckey Airport,73034
Mckinley Ranch Airport,73433
Rock Creek Farm Airport,None
Chappell Airport,None
Ellis/Harvey Airport,73044
Long Ranch Airport,74034
East Oregon Cattle Co Airport,97634
Rome Service Airport,None
Marr Field,None
Sutton on Rogue Airport,97361
Hanel Field,None
Van Pak Airport,97041
Philadelphia Gliderport,17361
Haunstein Ultralightport,18927
Robbins Farm Airport,17053
Ecko Field,16947
Fisher Airport,17036
Hostetler Airport,16317
Fletcher Airport,None
Flying Acres Airport,16145
Kitner Airport,16057
Nichols Airport,17024
Drillmore Acres Airport,None
Shriver Airport,None
Paul Personal Use Airport,16354
Frederick Airpark,None
Carsonville Airport,16361
Old Orchard Airport,17032
Sonoma Valley Airport,None
Selma Airport,None
Sonoma Skypark Airport,93625
Lincoln Municipal Airport,95476
The Red River Airport,65338
Plainville Airpark,71019
Meadow Creek Usfs Airport,67663
Lodi Airport,57630
Bledsoe Ranch Airport,None
Oasis Ranch Airport,None
Porch Ranch Airport,None
Juhnke Airport,None
Buddy Harmel Airport,None
Smith Farms Airport,None
Tate Ranch Airport,None
Erco Field,None
Alta Vista Ranch Airport,75143
Robertson Ranch Airport,None
Buzz Field,None
Hilltop Lakes Airport,70256
Santa Maria Ranch Airport,77871
Gorman Airport,None
LBJ Ranch Airport,76454
R & S Buzzard Airport,78671
Mc Donald Airport,37742
Riner Farm Airport,37128
Dooley Airport,37828
Ultralight International Ultralightport,76247
Ullrich Airport,76052
Lake Bay Gall Airport,78946
Flying U Airport,None
Flying 'K' Ranch Ultralightport,76068
Nassau Bay Airport,78570
Pecan Plantation Airport,76049
Elm Creek Airpark,75022
Jacobia Field,78155
Card Aerodrome,75403
Landmark US Forest Service Airport,None
Warm Springs Creek Airport,None
Copper Basin Airport,None
Mahoney Creek US Forest Service Airport,None
Hollow Top Airport,None
May Airport,None
Lee Williams Memorial Airport,None
Johnson Fox Field,83253
Riverwood Airport,None
Hunt Airport,24448
Coffman Field,24151
Jayarz Airport,23146
Handy Strip,None
Brooklyn Airport,None
Dwight Field,23128
Curtis Airport,23086
Mort's Landing Airport,None
Doering Farms Airfield,54826
Crash In International Airport,53017:53027
Simandl Field/Private Airport,53949
With Wings And A Halo Airport,53150
Oconomowoc Airport,54985
Mc Manus Hoonch-Na-Shee-Kaw Airport,53066
Shangri-La Airport,None
Coopers Landing,None
Potts Field,99337
Wings For Christ Airport,53126
Dorsey Creek Ranch Airport,98841
Seven C's Ranch Airport,83120
74 Ranch Airport,None
Bar 3 Ranch Airport,None
Diamond H Ranch Airport,None
Rodgers Roost Airport,78626
John Fields Ranch Airport,None
Lakeside Beach Airport,None
Anacacho Ranch Airport,None
Dunbar Ranch Airport,None
French Field,None
Lambert Fechter Municipal Airport,75757
Road Commission Nr 1 Airport,50450
Hunt Strip,None
Pierce Airport,99629
Silkman Farms Inc. Airport,None
Winsted Municipal Airport,None
Rosser Ranch Airport,55395
Seven Feathers Airport,34748
Beaverbrook Aerodrome,34434
Flyers Airport,30223
Flat Top Airstrip,50701
Industrial Helicopters Inc. Airport,None
Hoolie Airport,None
Johnston Farm Airport,70583
Smith Strip,None
Zoellner Airport,None
Hickory Hills Airport,None
Stevens Mountain Airport,73068
Flatwood Field,None
Nashs Airport,37090
Buds Landing Airport,24522
Willow Creek Ranch Airport,54114
Flying S Air Ranch Airport,None
Rocking T. Ranch Airport,76802
Whetstone Airport,None
Turner Field,None
Hansen Airport,93725
B & L Farms Airport,None
Williams Field,None
Atterbury Field (Camp Atterbury),None
Jr's Airport,None
Thacker Airport,46149
Jasmine Hill Airport,61726
Fulton-Itawamba County Airport,71433
Bulljump Airport,None
Tim's Airport,02576
Redgate Ranch Airport,21801
Lammers Airport,63361
Candlelight Farms Airport,None
Kaan Airport,06784
Hop House Airpark,None
Saikkonen Airport,None
Hide-A-Way Hills Resort Airport,14883
Unity Airport,43138
Beefor Ranch Airport,97884
Holiday Sky Ranch Airport,73080
Eakin Airport,97479
Sekiu Airport,16346
Salem Field,76050
Pt Enterprise D&W Ranch Airport,37040
Butler Airport,None
Flying R Airport,75092
Homeport Airport,22443
Arkavalley Airport,99020
Gibbons Airport,72058:72173
Ranta Strip,None
Faber Vineyards Airport,85342
Newton Field,95237
Richter Airport,93264
Omega 1 STOLport,None
Plueger Airfield,None
Flying B Ranch Landing Strip,None
Pentecost Airport,51031
Hawker Airport,47330
J & S Field,60913
John M. Foree Airport,67135
Kml Airport,40011
Hains Airstrip,70663
John's Airport,None
Ferguson Farms Airport,48423
Green Acres Airport,65305
Lincolns Field,39669
Atlantic Field Mcolf Airport,None
Pietschtree Airstrip,28511
Reisig Brothers Airport,None
Gile Pond Airport,69361
Westport Airport,03235
Mcgregor Airfield,12993
Skinner Ranch Airport,45309
Monument Municipal Airport,97910
Over the Hill Airport,97864
Curtis Ranch Field,29045
Riley Creek Airport,None
Blo Airport,None
Griffin Airport,None
Hop-Along Airport,78605
Fowlers Nw 40 Airport,24448
Walker Airport,None
Crazy Horse Airport,None
Black Diamond Airport,None
Wood Farm Airfield,82411
Mc Croskey Field,79758
Satterbergs Airport,72007
Waltenberry Field Ultralightport,None
Maine Prairie Airport,None
Earle Airpark,95620
Oak Ridge Plantation Airport,32145
