Airport Name,Zipcode
Senaki Air Base,4400
Nielsville Airport,4413
Güstrow Airport,4425
Cortopassi Airport,4426
East-West Paris Airport,4434
Mina Clavero Airport,4440
Sonderlandeplatz Meißendorf-Brunsiek,4452
Warren-Sugarbush Airport,4474
Mogilishte Airstrip,4477
Ingwavuma Airport,4490
Sugar Springs Airpark,4505
Agrarflugplatz Laußig,4509
Rechlin-Lärz Airport,4509
Pirin Airfield,4529
Traill Southeast Airport,4534
El Desafio,4550
Hines Farm Airport,4558
Kalbermatter Airport,4560
Firmat Airport,4561
Leknes Airport,4563
Bad Frankenhausen Airport,4564
Dessau Airfield,4603
Villa de María de Río Seco Airport,4608
Richvale Airport,4614
UL-Flugplatz Hinterweiler,4618
Bornholm Airport,4621
Martiniiskonpalo Airport,4630
Aeródromo Lanzahita UL,4630
Jones Landing,4648
Al Divine Airport,4652
Geilo Airport Dagali,4656
Antelope Airpark,4682
Lemvig Airport,4683
La Gineta UL,4710
Rgl Field,4754
Stölln-Rhinow Airport,4758
Brasschaat Airfield,4760
Freyenstein UL,4827
Agrarflugfeld Machern,4838
Boron Airstrip,4848
Conley Field,4850
Law Field,4851
Las Torres de Aliste,4860
Rolfsted Flyveplads,4872
Langhennersdorf Airport,4886
Oberrissdorf Airport,4895
Brustem Airfield Sint Truiden,4900
Tournai/Maubray Glider Field,4910
Ingolstadt Manching Airport,4916
Slagelse Private Airstrip,4943
James Brothers Airport,4945
Orø Flyveplads,4945
Twin Oaks Airport,4983
Sidi Ahmed Air Base,5012
Ebon Airport,5020
Melsbroek Air Base,5031
Flying A Airport,5058
Prieska Airport,5120
Adjumani Airport,5130
Willie's Airport,5143
Lake Omeo Dry Lake Ultralightport,5169
La Segarra Airfield,5192
Diamante Airport,5200
Vadsø Airport,5217
Selanovtsi Airfield,5250
Koffee Bay Airport,5292
Aeródromo de Villaconejos,5296
Gilleleje Airstrip,5300
Petit Airport,5320
Glacier d'Argentière Altiport,5320
Ferrere Airport,5320
Ferrere Airport,5320
Baja Airport,5321
Moorsele Airfield,5332
Blagoevo,5342
Breznik,5347
YKCY,5354
Wood Farm Airport,5356
Sørkjosen Airport,5428
Hill City-Quadna Mountain Airport,5465
Mollerussa UL,5490
Oakbrook Airport,5491
Bowman Field,5491
Sheffels Ranch Airport,5495
Felsőráda,5502
Leones Airport,5533
Matkópuszta Airfield,5540
Knezha Airstrip,5553
Bahía Agradable Airport,5570
Alagro Fumigaciones Airport,5575
Pinjarra North Airstrip,5577
Rojas Airport,5579
Dalnerechensk Airport,5603
General Belgrano Airport,5620
Chièvres Air Base,5630
Field of Dreams Airport,5647
Maillen Ulmodrome,5670
Triple R Airport,5674
Carlton Hill Airport,5690
Hippopotame Airport,5700
Hautacam Airport,5700
Yardie Homestead,5733
Dabo Airport,5734
Frankfort-Highland Airport,5740
Baumann Farm Inc. Airport,5770
Ezpeleta Airport,5800
Iisalmi Airport,5820
Aranyos,5820
Bowbells Municipal Airport,5846
Holsted Flyveplads (private),5853
Sønder Felding Flyveplads,5863
Ceres Airport,5880
Bragado Airport,5881
Briar Creek Airport,5990
Börgönd Airfield,6000
Borj El Amri Airport,6001
Myrup fly in estate Airport,6004
Arroyito/Arcor Airport,6005
Piet Retief Airport,6006
Île aux Coudres Airport,6010
Valley Farms Airport,6018
Flying U Ranch Airport,6026
Monona Municipal Airport,6029
Laurie Field,6029
Carhue Airport,6030
Balatonfőkajár Repülőtér,6035
Andøya Airport,6040
America Airport,6064
Skare Airport,6064
Dutto Airport,6064
El Mirador,6070
Swift Airport,6071
Wysocki Field,6074
BSG Airport,6075
Parajon Airport,6075
Gallup Farm Airport,6075
Rankl Field,6082
Green Acres Airport,6088
Karup Airport,6100
Fumigaciones Stadler Airport,6105
Djanet Inedbirene Airport,6120
Gravelotte Airport,6139
"Mo i Rana Airport, Røssvoll",6160
Pirna-Pratzschwitz Airport,6188
Kleinsee Airport,6191
Nueva Valencia Airport,6200
Poti East Airport,6200
Agroservicio Doña Teresa Airport,6203
Pinjarra Skydiving Airstrip,6208
Aeródromo El Bonillo,6210
Intendente Alvear,6221
Metán Airport,6221
Prince Mangosuthu Buthelezi Airport,6229
Los Menucos Airport,6230
Ejstruphede Glider Field,6230
Cerfontaine Airfield,6230
Club Fenix ULM,6230
Añatuya Airport,6237
Devils Hopyard Field,6238
